page_number,column,ad_type,section_name,layout
1,7,5단통,,"[[0, 1, 5, 3], [5, 1, 2, 5], [0, 4, 5, 3], [5, 6, 2, 4], [0, 7, 3, 3], [3, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
1,6,5단통,,"[[0, 1, 5, 6], [5, 1, 1, 9], [0, 7, 5, 3], [0, 10, 6, 5, ""광고_5단통""]]"
1,7,5단통,,"[[0, 1, 5, 6], [5, 1, 2, 6], [0, 7, 5, 3], [5, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
1,7,5단통,,"[[0, 1, 5, 6], [5, 1, 2, 6], [0, 7, 7, 3], [0, 10, 7, 5, ""광고_5단통""]]"
1,7,5단통,,"[[0, 1, 5, 6], [5, 1, 2, 9], [0, 7, 5, 3], [0, 10, 7, 5, ""광고_5단통""]]"
100,7,6단통,,"[[0, 0, 4, 4], [4, 0, 3, 3], [4, 3, 3, 3], [0, 4, 4, 3], [4, 6, 3, 3], [0, 7, 4, 2], [0, 9, 7, 6, ""광고_6단통""]]"
101,7,6단통,,"[[0, 0, 4, 4], [4, 0, 3, 3], [4, 3, 3, 3], [0, 4, 4, 3], [4, 6, 3, 3], [0, 7, 4, 2], [0, 9, 7, 6, ""광고_6단통""]]"
100,7,6단통,,"[[0, 0, 4, 5], [4, 0, 3, 4], [4, 4, 3, 5], [0, 5, 4, 2], [0, 7, 4, 2], [0, 9, 7, 6, ""광고_6단통""]]"
101,7,6단통,,"[[0, 0, 4, 5], [4, 0, 3, 4], [4, 4, 3, 5], [0, 5, 4, 2], [0, 7, 4, 2], [0, 9, 7, 6, ""광고_6단통""]]"
100,7,6단통,,"[[0, 0, 5, 4], [5, 0, 2, 3], [5, 3, 2, 3], [0, 4, 5, 3], [5, 6, 2, 3], [0, 7, 5, 2], [0, 9, 7, 6, ""광고_6단통""]]"
101,7,6단통,,"[[0, 0, 5, 4], [5, 0, 2, 3], [5, 3, 2, 3], [0, 4, 5, 3], [5, 6, 2, 3], [0, 7, 5, 2], [0, 9, 7, 6, ""광고_6단통""]]"
