id,page_number,column,ad_type,layout
83,1,6,5단통,"[[0, 1, 4, 4], [4, 1, 2, 5], [0, 5, 4, 5], [2, 5, 2, 5], [4, 6, 2, 4], [0, 10, 6, 5, ""광고_5단통""]]"
84,1,6,5단통,"[[0, 1, 4, 5], [4, 1, 2, 5], [0, 6, 2, 4], [2, 6, 2, 4], [4, 6, 2, 4], [0, 10, 6, 5, ""광고_5단통""]]"
85,1,6,5단통,"[[0, 1, 4, 5], [4, 1, 2, 5], [0, 6, 3, 5], [3, 6, 1, 5], [4, 6, 2, 5], [0, 10, 6, 5, ""광고_5단통""]]"
86,1,6,5단통,"[[0, 1, 4, 6], [4, 1, 2, 5], [4, 6, 2, 4], [0, 7, 4, 3], [0, 10, 6, 5, ""광고_5단통""]]"
87,1,7,5단통,"[[0, 1, 4, 6], [4, 1, 3, 5], [4, 6, 3, 4], [0, 7, 4, 3], [0, 10, 7, 5, ""광고_5단통""]]"
88,1,7,5단통,"[[0, 1, 4, 6], [4, 1, 3, 6], [0, 7, 7, 3], [0, 10, 7, 5, ""광고_5단통""]]"
89,1,7,5단통,"[[0, 1, 5, 3], [5, 1, 2, 5], [0, 4, 5, 3], [5, 6, 2, 4], [0, 7, 3, 3], [3, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
90,1,6,5단통,"[[0, 1, 5, 6], [5, 1, 1, 9], [0, 7, 5, 3], [0, 10, 6, 5, ""광고_5단통""]]"
91,1,7,5단통,"[[0, 1, 5, 6], [5, 1, 2, 6], [0, 7, 5, 3], [5, 7, 2, 3], [0, 10, 7, 5, ""광고_5단통""]]"
92,1,7,5단통,"[[0, 1, 5, 6], [5, 1, 2, 6], [0, 7, 7, 3], [0, 10, 7, 5, ""광고_5단통""]]"
93,1,7,5단통,"[[0, 1, 5, 6], [5, 1, 2, 9], [0, 7, 5, 3], [0, 10, 7, 5, ""광고_5단통""]]"
94,100,7,6단통,"[[0, 0, 4, 4], [4, 0, 3, 3], [4, 3, 3, 3], [0, 4, 4, 3], [4, 6, 3, 3], [0, 7, 4, 2], [0, 9, 7, 6, ""광고_6단통""]]"
95,101,7,6단통,"[[0, 0, 4, 4], [4, 0, 3, 3], [4, 3, 3, 3], [0, 4, 4, 3], [4, 6, 3, 3], [0, 7, 4, 2], [0, 9, 7, 6, ""광고_6단통""]]"
96,100,7,6단통,"[[0, 0, 4, 5], [4, 0, 3, 4], [4, 4, 3, 5], [0, 5, 4, 2], [0, 7, 4, 2], [0, 9, 7, 6, ""광고_6단통""]]"
97,101,7,6단통,"[[0, 0, 4, 5], [4, 0, 3, 4], [4, 4, 3, 5], [0, 5, 4, 2], [0, 7, 4, 2], [0, 9, 7, 6, ""광고_6단통""]]"
98,100,7,6단통,"[[0, 0, 5, 4], [5, 0, 2, 3], [5, 3, 2, 3], [0, 4, 5, 3], [5, 6, 2, 3], [0, 7, 5, 2], [0, 9, 7, 6, ""광고_6단통""]]"
99,101,7,6단통,"[[0, 0, 5, 4], [5, 0, 2, 3], [5, 3, 2, 3], [0, 4, 5, 3], [5, 6, 2, 3], [0, 7, 5, 2], [0, 9, 7, 6, ""광고_6단통""]]"
100,100,7,6단통,"[[0, 0, 5, 5], [5, 0, 2, 5], [0, 5, 5, 2], [5, 5, 2, 4], [0, 7, 5, 2], [0, 9, 7, 6, ""광고_6단통""]]"
101,101,7,6단통,"[[0, 0, 5, 5], [5, 0, 2, 5], [0, 5, 5, 2], [5, 5, 2, 4], [0, 7, 5, 2], [0, 9, 7, 6, ""광고_6단통""]]"
102,101,7,7단15_홀,"[[0, 0, 4, 5], [4, 0, 3, 5], [0, 5, 4, 3], [4, 5, 3, 3], [0, 8, 4, 3], [0, 11, 4, 2], [0, 13, 4, 2], [4, 8, 3, 7, ""광고_7단15_홀""]]"
103,100,7,7단15_짝,"[[0, 0, 4, 5], [4, 0, 3, 5], [0, 5, 4, 3], [4, 5, 3, 3], [3, 8, 1, 7], [4, 8, 3, 4], [4, 12, 3, 3], [0, 8, 3, 7, ""광고_7단15_짝""]]"
104,101,7,7단15_홀,"[[0, 0, 4, 7], [4, 0, 3, 4], [4, 4, 3, 4], [0, 7, 4, 3], [0, 10, 4, 3], [0, 13, 4, 2], [4, 8, 3, 7, ""광고_7단15_홀""]]"
105,100,7,7단15_짝,"[[0, 0, 5, 5], [5, 0, 2, 8], [0, 5, 5, 3], [3, 8, 2, 3], [5, 8, 2, 3], [3, 11, 2, 4], [5, 11, 2, 4], [0, 8, 3, 7, ""광고_7단15_짝""]]"
106,100,7,7단15_짝,"[[0, 0, 5, 8], [5, 0, 2, 8], [3, 8, 4, 3], [3, 11, 4, 4], [0, 8, 3, 7, ""광고_7단15_짝""]]"
107,100,7,7단15_짝,"[[0, 0, 7, 8], [3, 8, 4, 3], [3, 11, 4, 4], [0, 8, 3, 7, ""광고_7단15_짝""]]"
108,1,7,7단15,"[[0, 1, 4, 4], [4, 1, 3, 4], [0, 5, 4, 3], [4, 5, 3, 3], [0, 8, 2, 5], [2, 8, 2, 5], [0, 13, 4, 2], [4, 8, 3, 7, ""광고_7단15""]]"
109,1,7,7단15,"[[0, 1, 4, 4], [4, 1, 3, 4], [0, 5, 4, 4], [4, 5, 3, 3], [0, 9, 4, 3], [0, 12, 4, 3], [4, 8, 3, 7, ""광고_7단15""]]"
110,1,7,7단15,"[[0, 1, 4, 5], [4, 1, 3, 4], [4, 5, 3, 3], [0, 6, 4, 4], [0, 10, 2, 5], [2, 10, 2, 5], [4, 8, 3, 7, ""광고_7단15""]]"
111,1,7,7단15,"[[0, 1, 4, 7], [4, 1, 3, 3], [4, 4, 3, 4], [0, 8, 4, 4], [0, 12, 4, 3], [4, 8, 3, 7, ""광고_7단15""]]"
112,1,7,7단15,"[[0, 1, 4, 7], [4, 1, 3, 7], [0, 8, 4, 4], [0, 12, 4, 3], [4, 8, 3, 7, ""광고_7단15""]]"
113,100,7,7단통,"[[0, 0, 4, 5], [4, 0, 3, 5], [0, 5, 4, 3], [4, 5, 3, 3], [0, 8, 7, 7, ""광고_7단통""]]"
114,101,7,7단통,"[[0, 0, 4, 5], [4, 0, 3, 5], [0, 5, 4, 3], [4, 5, 3, 3], [0, 8, 7, 7, ""광고_7단통""]]"
115,100,7,7단통,"[[0, 0, 5, 4], [5, 0, 2, 4], [0, 4, 5, 4], [5, 4, 2, 4], [0, 8, 7, 7, ""광고_7단통""]]"
116,101,7,7단통,"[[0, 0, 5, 4], [5, 0, 2, 4], [0, 4, 5, 4], [5, 4, 2, 4], [0, 8, 7, 7, ""광고_7단통""]]"
117,100,7,7단통,"[[0, 0, 5, 8], [5, 0, 2, 4], [5, 4, 2, 4], [0, 8, 7, 7, ""광고_7단통""]]"
118,101,7,7단통,"[[0, 0, 5, 8], [5, 0, 2, 4], [5, 4, 2, 4], [0, 8, 7, 7, ""광고_7단통""]]"
119,101,7,8단27_홀,"[[0, 0, 4, 7], [4, 0, 3, 7], [0, 7, 2, 8], [2, 7, 5, 8, ""광고_8단27_홀""]]"
120,100,7,8단27_짝,"[[0, 0, 4, 7], [4, 0, 3, 7], [5, 7, 2, 8], [0, 7, 5, 8, ""광고_8단27_짝""]]"
121,101,7,8단27_홀,"[[0, 0, 5, 7], [5, 0, 2, 7], [0, 7, 2, 8], [2, 7, 5, 8, ""광고_8단27_홀""]]"
122,100,7,8단27_짝,"[[0, 0, 5, 7], [5, 0, 2, 7], [5, 7, 2, 8], [0, 7, 5, 8, ""광고_8단27_짝""]]"
123,100,7,8단통,"[[0, 0, 4, 5], [4, 0, 3, 5], [0, 5, 4, 2], [4, 5, 3, 2], [0, 7, 7, 8, ""광고_8단통""]]"
124,101,7,8단통,"[[0, 0, 4, 5], [4, 0, 3, 5], [0, 5, 4, 2], [4, 5, 3, 2], [0, 7, 7, 8, ""광고_8단통""]]"
125,100,7,8단통,"[[0, 0, 4, 7], [4, 0, 3, 7], [0, 7, 7, 8, ""광고_8단통""]]"
126,101,7,8단통,"[[0, 0, 4, 7], [4, 0, 3, 7], [0, 7, 7, 8, ""광고_8단통""]]"
127,100,7,8단통,"[[0, 0, 5, 7], [5, 0, 2, 3], [5, 3, 2, 4], [0, 7, 7, 8, ""광고_8단통""]]"
128,101,7,8단통,"[[0, 0, 5, 7], [5, 0, 2, 3], [5, 3, 2, 4], [0, 7, 7, 8, ""광고_8단통""]]"
129,100,7,8단통,"[[0, 0, 5, 7], [5, 0, 2, 7], [0, 7, 7, 8, ""광고_8단통""]]"
130,101,7,8단통,"[[0, 0, 5, 7], [5, 0, 2, 7], [0, 7, 7, 8, ""광고_8단통""]]"
131,101,7,9단21_홀,"[[0, 0, 3, 15], [3, 0, 4, 6], [3, 6, 4, 9, ""광고_9단21_홀""]]"
132,100,7,9단21_짝,"[[0, 0, 4, 4], [4, 0, 3, 4], [0, 4, 4, 2], [4, 4, 3, 3], [4, 7, 3, 4], [4, 11, 3, 4], [0, 6, 4, 9, ""광고_9단21_짝""]]"
133,101,7,9단21_홀,"[[0, 0, 4, 6], [4, 0, 3, 4], [4, 4, 3, 2], [0, 6, 3, 3], [0, 9, 3, 4], [0, 13, 3, 2], [3, 6, 4, 9, ""광고_9단21_홀""]]"
134,100,7,9단21_짝,"[[0, 0, 4, 6], [4, 0, 3, 4], [4, 4, 3, 4], [4, 8, 3, 4], [4, 12, 3, 3], [0, 6, 4, 9, ""광고_9단21_짝""]]"
135,101,7,9단21_홀,"[[0, 0, 4, 6], [4, 0, 3, 6], [0, 6, 3, 9], [3, 6, 4, 9, ""광고_9단21_홀""]]"
136,100,7,9단21_짝,"[[0, 0, 4, 6], [4, 0, 3, 6], [4, 6, 3, 5], [4, 11, 3, 4], [0, 6, 4, 9, ""광고_9단21_짝""]]"
137,100,7,9단21_짝,"[[0, 0, 4, 6], [4, 0, 3, 6], [4, 6, 3, 9], [0, 6, 4, 9, ""광고_9단21_짝""]]"
138,101,7,9단21_홀,"[[0, 0, 5, 6], [5, 0, 2, 6], [0, 6, 3, 5], [0, 11, 3, 4], [3, 6, 4, 9, ""광고_9단21_홀""]]"
139,100,7,9단21_짝,"[[0, 0, 5, 6], [5, 0, 2, 6], [4, 6, 3, 5], [4, 11, 3, 4], [0, 6, 4, 9, ""광고_9단21_짝""]]"
140,101,7,9단21_홀,"[[0, 0, 5, 6], [5, 0, 2, 6], [0, 6, 3, 4], [0, 10, 3, 5], [3, 6, 4, 9, ""광고_9단21_홀""]]"
